anime_id,name,genre,type,episodes,rating,members,studio,release_year,status,source,age_rating,tags
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,Bones,1973,Ongoing,Original,R+,"Action, Sci-Fi"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,Studio Pierrot,2010,Completed,Original,R,"Comedy, Adventure"
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,Toei Animation,1987,Completed,Game,PG,"Romance, Action"
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,Wit Studio,2002,Upcoming,Light Novel,G,"Drama, Romance"
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,Kyoto Animation,1992,Upcoming,Web Novel,R+,"Horror, Drama"
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,Studio Pierrot,1992,Ongoing,Manga,PG,"Action, Slice of Life"
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,Toei Animation,1980,Upcoming,Manga,R+,"Drama, Action"
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,Studio Pierrot,2020,Completed,Light Novel,PG-13,"Adventure, Sci-Fi"
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,Toei Animation,1994,Ongoing,Manga,R,"Slice of Life, Adventure"
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,Wit Studio,1991,Upcoming,Original,PG,"Comedy, Action"
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,Bones,2000,Upcoming,Light Novel,PG-13,"Comedy, Action"
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,Wit Studio,1979,Ongoing,Original,G,"Adventure, Sci-Fi"
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,Bones,1994,Upcoming,Light Novel,PG,"Fantasy, Slice of Life"
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,Studio Pierrot,1979,Completed,Web Novel,R+,"Fantasy, Comedy"
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,Bones,1990,Upcoming,Game,R+,"Slice of Life, Action"
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,Madhouse,1997,Upcoming,Light Novel,G,"Comedy, Slice of Life"
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,Wit Studio,1992,Completed,Manga,G,"Slice of Life, Drama"
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,Kyoto Animation,1989,Upcoming,Web Novel,R,"Action, Drama"
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,Madhouse,2002,Upcoming,Original,R,"Action, Slice of Life"
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,Wit Studio,1999,Upcoming,Original,R,"Drama, Action"
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,Toei Animation,1972,Ongoing,Original,G,"Romance, Horror"
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,16947,Wit Studio,2007,Upcoming,Light Novel,PG,"Slice of Life, Horror"
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,Bones,1994,Completed,Manga,R+,"Comedy, Sci-Fi"
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,Kyoto Animation,1980,Ongoing,Light Novel,R,"Sci-Fi, Action"
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,Bones,1982,Ongoing,Web Novel,R+,"Horror, Drama"
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,Wit Studio,1983,Completed,Light Novel,G,"Drama, Horror"
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,Studio Pierrot,2014,Upcoming,Game,R,"Drama, Fantasy"
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187,Bones,2000,Completed,Light Novel,G,"Fantasy, Drama"
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,Madhouse,2008,Ongoing,Web Novel,PG-13,"Horror, Romance"
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,Toei Animation,2007,Completed,Web Novel,R,"Action, Drama"
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531,Madhouse,2015,Completed,Manga,R+,"Slice of Life, Horror"
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,Bones,2002,Upcoming,Web Novel,G,"Action, Drama"
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,Toei Animation,1971,Upcoming,Game,R,"Drama, Adventure"
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,Studio Pierrot,2014,Completed,Light Novel,R,"Fantasy, Romance"
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,Toei Animation,2006,Ongoing,Game,R+,"Adventure, Comedy"
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,Madhouse,1980,Upcoming,Web Novel,G,"Sci-Fi, Action"
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,Wit Studio,1972,Ongoing,Manga,PG-13,"Fantasy, Horror"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,Kyoto Animation,2020,Ongoing,Web Novel,PG,"Adventure, Action"
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,Wit Studio,1994,Upcoming,Game,G,"Comedy, Fantasy"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,Toei Animation,1998,Completed,Web Novel,R+,"Horror, Action"
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,Madhouse,1977,Ongoing,Web Novel,R+,"Romance, Adventure"
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,Kyoto Animation,2008,Ongoing,Game,PG-13,"Adventure, Fantasy"
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178,Toei Animation,2017,Ongoing,Game,PG,"Romance, Sci-Fi"
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,Studio Pierrot,1973,Upcoming,Game,PG,"Romance, Fantasy"
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,Kyoto Animation,2019,Completed,Game,G,"Drama, Romance"
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,Kyoto Animation,1996,Ongoing,Original,PG-13,"Adventure, Romance"
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,Bones,2023,Upcoming,Game,R,"Comedy, Action"
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,Studio Pierrot,2023,Completed,Web Novel,R+,"Slice of Life, Drama"
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,Kyoto Animation,2020,Ongoing,Light Novel,PG-13,"Fantasy, Action"
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,Madhouse,1981,Ongoing,Game,R+,"Horror, Comedy"
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,80825,Toei Animation,1993,Ongoing,Light Novel,PG,"Slice of Life, Horror"
578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878,Wit Studio,1988,Completed,Manga,PG,"Action, Adventure"
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,Studio Pierrot,1970,Ongoing,Web Novel,R+,"Romance, Horror"
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,Kyoto Animation,2023,Completed,Light Novel,PG,"Slice of Life, Adventure"
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,Bones,2016,Ongoing,Game,PG,"Sci-Fi, Slice of Life"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,Kyoto Animation,2009,Completed,Light Novel,R,"Drama, Comedy"
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,Toei Animation,2021,Completed,Manga,R,"Horror, Sci-Fi"
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,Toei Animation,2006,Completed,Original,R+,"Adventure, Slice of Life"
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,Kyoto Animation,2003,Completed,Web Novel,G,"Action, Horror"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,Bones,2010,Upcoming,Game,PG-13,"Adventure, Drama"
10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,Madhouse,2006,Upcoming,Game,PG,"Adventure, Drama"
18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,25641,Studio Pierrot,2018,Completed,Original,G,"Drama, Adventure"
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,Studio Pierrot,1981,Upcoming,Light Novel,PG-13,"Fantasy, Adventure"
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,Kyoto Animation,2010,Ongoing,Manga,R+,"Comedy, Action"
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,Madhouse,1980,Upcoming,Light Novel,PG,"Romance, Comedy"
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,Wit Studio,1992,Completed,Game,R+,"Slice of Life, Sci-Fi"
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,Studio Pierrot,2005,Upcoming,Original,PG-13,"Adventure, Sci-Fi"
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,Madhouse,1981,Upcoming,Manga,R,"Comedy, Horror"
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,Studio Pierrot,2020,Ongoing,Light Novel,PG,"Drama, Romance"
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,Wit Studio,2007,Ongoing,Original,G,"Comedy, Sci-Fi"
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,Toei Animation,1995,Completed,Web Novel,G,"Comedy, Slice of Life"
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,Studio Pierrot,1986,Upcoming,Light Novel,R,"Drama, Fantasy"
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,Toei Animation,2009,Ongoing,Web Novel,PG-13,"Comedy, Sci-Fi"
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,Kyoto Animation,1977,Completed,Manga,PG-13,"Adventure, Sci-Fi"
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,Madhouse,1990,Completed,Original,PG,"Comedy, Slice of Life"
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,Kyoto Animation,1973,Completed,Light Novel,R+,"Action, Comedy"
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,Studio Pierrot,2020,Upcoming,Original,PG,"Slice of Life, Action"
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,Madhouse,1997,Completed,Web Novel,G,"Sci-Fi, Slice of Life"
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,Wit Studio,1970,Upcoming,Original,R,"Sci-Fi, Action"
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,Toei Animation,2000,Completed,Manga,G,"Slice of Life, Fantasy"
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,Madhouse,1985,Upcoming,Manga,PG-13,"Comedy, Drama"
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,Madhouse,2005,Upcoming,Web Novel,PG,"Comedy, Sci-Fi"
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,Bones,1986,Ongoing,Web Novel,R+,"Slice of Life, Sci-Fi"
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405,Madhouse,1995,Upcoming,Game,PG,"Sci-Fi, Horror"
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,Studio Pierrot,1984,Upcoming,Game,PG,"Romance, Slice of Life"
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,185015,Bones,2023,Upcoming,Web Novel,R+,"Slice of Life, Adventure"
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,Madhouse,1984,Upcoming,Original,R,"Comedy, Adventure"
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,Studio Pierrot,1998,Ongoing,Light Novel,R,"Action, Sci-Fi"
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788,Madhouse,2002,Upcoming,Manga,R,"Romance, Comedy"
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850,Kyoto Animation,2007,Completed,Original,R,"Comedy, Action"
25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895,Toei Animation,2008,Completed,Game,PG-13,"Action, Comedy"
2921,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,6259,Wit Studio,1971,Completed,Web Novel,PG-13,"Drama, Slice of Life"
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,Toei Animation,1974,Completed,Manga,G,"Slice of Life, Action"
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,Wit Studio,2015,Completed,Original,G,"Sci-Fi, Fantasy"
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,Kyoto Animation,1980,Completed,Original,G,"Sci-Fi, Fantasy"
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484,Studio Pierrot,2017,Upcoming,Web Novel,G,"Sci-Fi, Romance"
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,Wit Studio,1989,Ongoing,Light Novel,PG,"Action, Slice of Life"
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273,Wit Studio,2022,Completed,Light Novel,R+,"Slice of Life, Romance"
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,Wit Studio,1977,Completed,Light Novel,R+,"Romance, Fantasy"
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074,Studio Pierrot,2008,Ongoing,Game,G,"Drama, Action"
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,Studio Pierrot,1971,Ongoing,Game,R+,"Fantasy, Romance"
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822,Toei Animation,1995,Upcoming,Manga,R,"Romance, Drama"
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,Kyoto Animation,2013,Ongoing,Game,G,"Fantasy, Action"
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025,Toei Animation,1971,Completed,Light Novel,G,"Fantasy, Horror"
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,Toei Animation,1989,Upcoming,Game,G,"Drama, Adventure"
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543,Bones,2021,Upcoming,Manga,R+,"Slice of Life, Adventure"
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548,Bones,1981,Completed,Original,PG-13,"Horror, Action"
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987,Toei Animation,2007,Completed,Game,PG,"Comedy, Horror"
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,36751,Wit Studio,1990,Upcoming,Light Novel,G,"Adventure, Horror"
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579,Toei Animation,1986,Upcoming,Light Novel,R,"Romance, Sci-Fi"
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630,Madhouse,2020,Completed,Web Novel,G,"Action, Comedy"
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,Toei Animation,1990,Upcoming,Web Novel,R,"Sci-Fi, Fantasy"
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206,Kyoto Animation,2007,Completed,Web Novel,G,"Romance, Fantasy"
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963,Wit Studio,2014,Ongoing,Web Novel,PG-13,"Fantasy, Slice of Life"
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855,Kyoto Animation,2018,Ongoing,Game,R,"Horror, Slice of Life"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928,Bones,2014,Upcoming,Web Novel,R,"Action, Horror"
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503,Wit Studio,1979,Completed,Light Novel,PG,"Sci-Fi, Horror"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462,Madhouse,1992,Ongoing,Light Novel,PG,"Sci-Fi, Action"
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,Bones,1973,Ongoing,Game,PG-13,"Horror, Action"
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061,Wit Studio,2015,Completed,Manga,PG-13,"Comedy, Fantasy"
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420,Madhouse,1998,Completed,Manga,G,"Horror, Fantasy"
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,Wit Studio,1985,Completed,Original,PG,"Drama, Comedy"
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736,Kyoto Animation,1988,Completed,Original,PG-13,"Sci-Fi, Action"
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020,Wit Studio,1981,Completed,Light Novel,PG-13,"Romance, Fantasy"
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,Madhouse,1972,Upcoming,Manga,PG-13,"Sci-Fi, Drama"
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168,Toei Animation,1970,Upcoming,Light Novel,R+,"Slice of Life, Horror"
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787,Wit Studio,1980,Ongoing,Light Novel,PG-13,"Romance, Fantasy"
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261,Kyoto Animation,1981,Completed,Manga,PG,"Action, Fantasy"
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689,Bones,2012,Ongoing,Light Novel,R,"Slice of Life, Horror"
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056,Kyoto Animation,2005,Upcoming,Original,G,"Comedy, Adventure"
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328,Madhouse,2001,Upcoming,Game,PG-13,"Slice of Life, Sci-Fi"
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430,Studio Pierrot,2005,Ongoing,Light Novel,G,"Comedy, Drama"
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636,Wit Studio,1999,Ongoing,Original,PG-13,"Slice of Life, Adventure"
1842,Major S3,"Drama, Shounen, Sports",TV,26,8.4,29528,Wit Studio,2003,Ongoing,Original,PG,"Drama, Adventure"
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076,Kyoto Animation,2005,Upcoming,Web Novel,G,"Drama, Comedy"
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302,Studio Pierrot,2006,Completed,Original,PG-13,"Drama, Horror"
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228,Toei Animation,1998,Completed,Web Novel,PG-13,"Comedy, Action"
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188,Studio Pierrot,1984,Upcoming,Manga,R+,"Fantasy, Slice of Life"
